vacc_date,Bundesland,viert_praxen
2021-12-20,Bundesressorts,NA
2021-12-20,Hamburg,NA
2021-12-20,Hessen,NA
2021-12-20,Mecklenburg-Vorpommern,NA
2021-12-20,Niedersachsen,NA
2021-12-20,Nordrhein-Westfalen,NA
2021-12-20,Rheinland-Pfalz,NA
2021-12-20,Saarland,NA
2021-12-20,Sachsen,NA
2021-12-21,Baden-Württemberg,NA
2021-12-21,Bayern,NA
2021-12-21,Berlin,NA
2021-12-21,Brandenburg,NA
2021-12-21,Bremen,NA
2021-12-21,Hamburg,NA
2021-12-21,Hessen,NA
2021-12-21,Niedersachsen,NA
2021-12-21,Nordrhein-Westfalen,NA
2021-12-21,Rheinland-Pfalz,NA
2021-12-21,Sachsen-Anhalt,NA
2021-12-21,Schleswig-Holstein,NA
2021-12-21,Thüringen,NA
2021-12-22,Baden-Württemberg,NA
2021-12-22,Bayern,NA
2021-12-22,Brandenburg,NA
2021-12-22,Hamburg,NA
2021-12-22,Hessen,NA
2021-12-22,Mecklenburg-Vorpommern,NA
2021-12-22,Niedersachsen,NA
2021-12-22,Nordrhein-Westfalen,NA
2021-12-22,Rheinland-Pfalz,NA
2021-12-22,Saarland,NA
2021-12-22,Sachsen-Anhalt,NA
2021-12-22,Schleswig-Holstein,NA
2021-12-23,Baden-Württemberg,NA
2021-12-23,Bayern,NA
2021-12-23,Berlin,NA
2021-12-23,Brandenburg,NA
2021-12-23,Bremen,NA
2021-12-23,Hamburg,NA
2021-12-23,Hessen,NA
2021-12-23,Niedersachsen,NA
2021-12-23,Nordrhein-Westfalen,NA
2021-12-23,Saarland,NA
2021-12-23,Sachsen,NA
2021-12-23,Sachsen-Anhalt,NA
2021-12-23,Schleswig-Holstein,NA
2021-12-24,Baden-Württemberg,NA
2021-12-24,Bayern,NA
2021-12-24,Hessen,NA
2021-12-25,Bayern,NA
2021-12-25,Rheinland-Pfalz,NA
2021-12-26,Baden-Württemberg,NA
2021-12-26,Bayern,NA
2021-12-26,Rheinland-Pfalz,NA
2021-12-27,Baden-Württemberg,NA
2021-12-27,Bayern,NA
2021-12-27,Berlin,NA
2021-12-27,Brandenburg,NA
2021-12-27,Bremen,NA
2021-12-27,Hamburg,NA
2021-12-27,Hessen,NA
2021-12-27,Mecklenburg-Vorpommern,NA
2021-12-27,Niedersachsen,NA
2021-12-27,Nordrhein-Westfalen,NA
2021-12-27,Rheinland-Pfalz,NA
2021-12-27,Sachsen,NA
2021-12-27,Sachsen-Anhalt,NA
2021-12-27,Schleswig-Holstein,NA
2021-12-27,Thüringen,NA
2021-12-28,Baden-Württemberg,NA
2021-12-28,Bayern,NA
2021-12-28,Berlin,NA
2021-12-28,Brandenburg,NA
2021-12-28,Bremen,NA
2021-12-28,Hamburg,NA
2021-12-28,Hessen,NA
2021-12-28,Mecklenburg-Vorpommern,NA
2021-12-28,Niedersachsen,NA
2021-12-28,Nordrhein-Westfalen,NA
2021-12-28,Rheinland-Pfalz,NA
2021-12-28,Saarland,NA
2021-12-28,Sachsen,NA
2021-12-28,Sachsen-Anhalt,NA
2021-12-28,Schleswig-Holstein,NA
2021-12-28,Thüringen,NA
2021-12-29,Baden-Württemberg,NA
2021-12-29,Bayern,NA
2021-12-29,Brandenburg,NA
2021-12-29,Bremen,NA
2021-12-29,Hessen,NA
2021-12-29,Niedersachsen,NA
2021-12-29,Nordrhein-Westfalen,NA
2021-12-29,Rheinland-Pfalz,NA
2021-12-29,Sachsen,NA
2021-12-29,Sachsen-Anhalt,NA
2021-12-29,Schleswig-Holstein,NA
2021-12-29,Thüringen,NA
2021-12-30,Baden-Württemberg,NA
2021-12-30,Bayern,NA
2021-12-30,Brandenburg,NA
2021-12-30,Bremen,NA
2021-12-30,Hamburg,NA
2021-12-30,Hessen,NA
2021-12-30,Niedersachsen,NA
2021-12-30,Nordrhein-Westfalen,NA
2021-12-30,Rheinland-Pfalz,NA
2021-12-30,Sachsen,NA
2021-12-30,Sachsen-Anhalt,NA
2021-12-30,Schleswig-Holstein,NA
2021-12-30,Thüringen,NA
2021-12-31,Baden-Württemberg,NA
2021-12-31,Bayern,NA
2021-12-31,Mecklenburg-Vorpommern,NA
2021-12-31,Nordrhein-Westfalen,NA
2021-12-31,Schleswig-Holstein,NA
2022-01-01,Baden-Württemberg,NA
2022-01-01,Hamburg,NA
2022-01-01,Rheinland-Pfalz,NA
2022-01-01,Sachsen,NA
2022-01-02,Baden-Württemberg,NA
2022-01-02,Bayern,NA
2022-01-02,Bremen,NA
2022-01-02,Hessen,NA
2022-01-02,Niedersachsen,NA
2022-01-02,Nordrhein-Westfalen,NA
2022-01-02,Rheinland-Pfalz,NA
2022-01-02,Sachsen-Anhalt,NA
2022-01-03,Baden-Württemberg,NA
2022-01-03,Bayern,NA
2022-01-03,Berlin,NA
2022-01-03,Brandenburg,NA
2022-01-03,Bremen,NA
2022-01-03,Hamburg,NA
2022-01-03,Hessen,NA
2022-01-03,Niedersachsen,NA
2022-01-03,Nordrhein-Westfalen,NA
2022-01-03,Rheinland-Pfalz,NA
2022-01-03,Sachsen,NA
2022-01-03,Sachsen-Anhalt,NA
2022-01-03,Schleswig-Holstein,NA
2022-01-03,Thüringen,NA
2022-01-04,Baden-Württemberg,NA
2022-01-04,Bayern,NA
2022-01-04,Berlin,NA
2022-01-04,Brandenburg,NA
2022-01-04,Bremen,NA
2022-01-04,Hamburg,NA
2022-01-04,Hessen,NA
2022-01-04,Niedersachsen,NA
2022-01-04,Nordrhein-Westfalen,NA
2022-01-04,Rheinland-Pfalz,NA
2022-01-04,Sachsen,NA
2022-01-04,Schleswig-Holstein,NA
2022-01-04,Thüringen,NA
2022-01-05,Baden-Württemberg,NA
2022-01-05,Bayern,NA
2022-01-05,Berlin,NA
2022-01-05,Brandenburg,NA
2022-01-05,Bremen,NA
2022-01-05,Hamburg,NA
2022-01-05,Hessen,NA
2022-01-05,Mecklenburg-Vorpommern,NA
2022-01-05,Niedersachsen,NA
2022-01-05,Nordrhein-Westfalen,NA
2022-01-05,Rheinland-Pfalz,NA
2022-01-05,Saarland,NA
2022-01-05,Sachsen,NA
2022-01-05,Sachsen-Anhalt,NA
2022-01-05,Schleswig-Holstein,NA
2022-01-05,Thüringen,NA
2022-01-06,Baden-Württemberg,NA
2022-01-06,Bayern,NA
2022-01-06,Berlin,NA
2022-01-06,Brandenburg,NA
2022-01-06,Bremen,NA
2022-01-06,Bundesressorts,NA
2022-01-06,Hamburg,NA
2022-01-06,Hessen,NA
2022-01-06,Niedersachsen,NA
2022-01-06,Nordrhein-Westfalen,NA
2022-01-06,Rheinland-Pfalz,NA
2022-01-06,Saarland,NA
2022-01-06,Sachsen,NA
2022-01-06,Schleswig-Holstein,NA
2022-01-06,Thüringen,NA
2022-01-07,Baden-Württemberg,NA
2022-01-07,Bayern,NA
2022-01-07,Berlin,NA
2022-01-07,Brandenburg,NA
2022-01-07,Bremen,NA
2022-01-07,Hamburg,NA
2022-01-07,Hessen,NA
2022-01-07,Niedersachsen,NA
2022-01-07,Nordrhein-Westfalen,NA
2022-01-07,Rheinland-Pfalz,NA
2022-01-07,Saarland,NA
2022-01-07,Sachsen,NA
2022-01-07,Sachsen-Anhalt,NA
2022-01-07,Schleswig-Holstein,NA
2022-01-07,Thüringen,NA
2022-01-08,Baden-Württemberg,NA
2022-01-08,Bayern,NA
2022-01-08,Brandenburg,NA
2022-01-08,Bremen,NA
2022-01-08,Hamburg,NA
2022-01-08,Hessen,NA
2022-01-08,Mecklenburg-Vorpommern,NA
2022-01-08,Niedersachsen,NA
2022-01-08,Nordrhein-Westfalen,NA
2022-01-08,Rheinland-Pfalz,NA
2022-01-08,Saarland,NA
2022-01-08,Sachsen,NA
2022-01-08,Sachsen-Anhalt,NA
2022-01-08,Thüringen,NA
2022-01-09,Baden-Württemberg,NA
2022-01-09,Bayern,NA
2022-01-09,Berlin,NA
2022-01-09,Bremen,NA
2022-01-09,Hessen,NA
2022-01-09,Niedersachsen,NA
2022-01-09,Nordrhein-Westfalen,NA
2022-01-09,Rheinland-Pfalz,NA
2022-01-09,Schleswig-Holstein,NA
2022-01-10,Baden-Württemberg,NA
2022-01-10,Bayern,NA
