Bundesland,date,dritte_alle
Mecklenburg-Vorpommern,2021-09-13,264
Sachsen,2021-09-13,383
Sachsen-Anhalt,2021-09-13,755
Thüringen,2021-09-13,371
NA,2021-09-13,1
Schleswig-Holstein,2021-09-14,1740
Hamburg,2021-09-14,471
Niedersachsen,2021-09-14,1321
Bremen,2021-09-14,534
Nordrhein-Westfalen,2021-09-14,8021
Hessen,2021-09-14,2598
Rheinland-Pfalz,2021-09-14,1873
Baden-Württemberg,2021-09-14,5486
Bayern,2021-09-14,4630
Saarland,2021-09-14,417
Berlin,2021-09-14,2915
Brandenburg,2021-09-14,320
Mecklenburg-Vorpommern,2021-09-14,492
Sachsen,2021-09-14,712
Sachsen-Anhalt,2021-09-14,1093
Thüringen,2021-09-14,572
NA,2021-09-14,3
Schleswig-Holstein,2021-09-15,3431
Hamburg,2021-09-15,480
Niedersachsen,2021-09-15,1320
Bremen,2021-09-15,697
Nordrhein-Westfalen,2021-09-15,9308
Hessen,2021-09-15,3909
Rheinland-Pfalz,2021-09-15,2640
Baden-Württemberg,2021-09-15,6451
Bayern,2021-09-15,4648
Saarland,2021-09-15,329
Berlin,2021-09-15,3949
Brandenburg,2021-09-15,481
Mecklenburg-Vorpommern,2021-09-15,462
Sachsen,2021-09-15,763
Sachsen-Anhalt,2021-09-15,1181
Thüringen,2021-09-15,1084
NA,2021-09-15,10
Schleswig-Holstein,2021-09-16,2569
Hamburg,2021-09-16,550
Niedersachsen,2021-09-16,1512
Bremen,2021-09-16,788
Nordrhein-Westfalen,2021-09-16,11231
Hessen,2021-09-16,3288
Rheinland-Pfalz,2021-09-16,2440
Baden-Württemberg,2021-09-16,6273
Bayern,2021-09-16,4654
Saarland,2021-09-16,567
Berlin,2021-09-16,3599
Brandenburg,2021-09-16,966
Mecklenburg-Vorpommern,2021-09-16,667
Sachsen,2021-09-16,847
Sachsen-Anhalt,2021-09-16,1230
Thüringen,2021-09-16,1020
NA,2021-09-16,31
Schleswig-Holstein,2021-09-17,1580
Hamburg,2021-09-17,457
Niedersachsen,2021-09-17,1407
Bremen,2021-09-17,588
Nordrhein-Westfalen,2021-09-17,7365
Hessen,2021-09-17,3104
Rheinland-Pfalz,2021-09-17,2050
Baden-Württemberg,2021-09-17,5289
Bayern,2021-09-17,3503
Saarland,2021-09-17,367
Berlin,2021-09-17,3098
Brandenburg,2021-09-17,719
Mecklenburg-Vorpommern,2021-09-17,270
Sachsen,2021-09-17,468
Sachsen-Anhalt,2021-09-17,589
Thüringen,2021-09-17,769
NA,2021-09-17,1
Schleswig-Holstein,2021-09-18,658
Hamburg,2021-09-18,9
Niedersachsen,2021-09-18,53
Bremen,2021-09-18,97
