Entity,Code,Day,Weekly new hospital admissions
Iceland,ISL,2020-03-01,0.937
Iceland,ISL,2020-08-02,0.937
Iceland,ISL,2020-08-23,0.937
Iceland,ISL,2020-09-13,0.937
Iceland,ISL,2020-09-27,5.623
Iceland,ISL,2020-10-04,14.994
Iceland,ISL,2020-10-11,21.555
Iceland,ISL,2020-10-18,15.932
Iceland,ISL,2020-10-25,49.669
Iceland,ISL,2020-11-01,25.303
Iceland,ISL,2020-11-08,20.617
Iceland,ISL,2020-11-15,9.372
Iceland,ISL,2020-11-22,3.749
Iceland,ISL,2020-11-29,3.749
Iceland,ISL,2020-12-06,0.937
Iceland,ISL,2020-12-13,0.937
Iceland,ISL,2020-12-20,2.811
Iceland,ISL,2021-01-17,0.937
Iceland,ISL,2021-01-24,3.749
Iceland,ISL,2021-01-31,0.937
Iceland,ISL,2021-02-07,1.874
Iceland,ISL,2021-02-21,0.937
Iceland,ISL,2021-03-21,2.811
Iceland,ISL,2021-03-28,0.937
Iceland,ISL,2021-04-18,0.937
Iceland,ISL,2021-04-25,4.686
Iceland,ISL,2021-05-02,3.749
Iceland,ISL,2021-05-09,1.874
Iceland,ISL,2021-05-16,0.937
Iceland,ISL,2021-05-30,0.937
Iceland,ISL,2021-06-27,0.937
Iceland,ISL,2021-07-04,0.937
Ireland,IRL,2020-01-06,3.979
Ireland,IRL,2020-01-18,3.979
Ireland,IRL,2020-01-24,2.984
Ireland,IRL,2020-02-02,6.962
Ireland,IRL,2020-02-09,3.979
Ireland,IRL,2020-02-15,9.946
Ireland,IRL,2020-02-23,12.93
Ireland,IRL,2020-03-01,13.925
Ireland,IRL,2020-03-08,42.769
Ireland,IRL,2020-03-15,106.426
Ireland,IRL,2020-03-22,223.792
Ireland,IRL,2020-03-29,328.229
Ireland,IRL,2020-04-05,291.427
Ireland,IRL,2020-04-12,242.69
Ireland,IRL,2020-04-19,183.012
Ireland,IRL,2020-04-26,114.383
Ireland,IRL,2020-05-03,108.415
Ireland,IRL,2020-05-10,98.469
Ireland,IRL,2020-05-17,25.86
Ireland,IRL,2020-05-24,34.812
Ireland,IRL,2020-05-31,30.834
Ireland,IRL,2020-06-07,16.909
Ireland,IRL,2020-06-14,9.946
Ireland,IRL,2020-06-21,5.968
Ireland,IRL,2020-06-28,5.968
Ireland,IRL,2020-07-05,8.952
Ireland,IRL,2020-07-12,5.968
Ireland,IRL,2020-07-19,6.962
Ireland,IRL,2020-07-26,5.968
Ireland,IRL,2020-08-02,11.936
Ireland,IRL,2020-08-09,12.93
Ireland,IRL,2020-08-16,15.914
Ireland,IRL,2020-08-23,25.86
Ireland,IRL,2020-08-30,18.898
Ireland,IRL,2020-09-06,28.844
Ireland,IRL,2020-09-13,33.818
Ireland,IRL,2020-09-20,37.796
Ireland,IRL,2020-09-27,53.71
Ireland,IRL,2020-10-04,80.565
Ireland,IRL,2020-10-11,120.351
Ireland,IRL,2020-10-18,152.179
Ireland,IRL,2020-10-25,176.05
Ireland,IRL,2020-11-01,170.082
Ireland,IRL,2020-11-08,164.114
Ireland,IRL,2020-11-15,123.334
Ireland,IRL,2020-11-22,125.324
Ireland,IRL,2020-11-29,115.377
Ireland,IRL,2020-12-06,135.27
Ireland,IRL,2020-12-13,153.173
Ireland,IRL,2020-12-20,214.841
Ireland,IRL,2020-12-27,333.202
Ireland,IRL,2021-01-03,594.791
Ireland,IRL,2021-01-10,734.039
Ireland,IRL,2021-01-17,631.592
Ireland,IRL,2021-01-24,516.215
Ireland,IRL,2021-01-31,376.966
