"";"Kreis";"AG_rki";"ges";"m";"w"
"604";5762;4;48264;24229;24035
"605";5762;5;32446;15814;16632
"606";5762;6;10526;3933;6593
"607";5766;1;17248;8847;8401
"608";5766;2;34180;17587;16593
"609";5766;3;76491;40114;36377
"610";5766;4;116038;57425;58613
"611";5766;5;76864;36408;40456
"612";5766;6;26693;10147;16546
"613";5770;1;15008;7878;7130
"614";5770;2;29765;15254;14511
"615";5770;3;68632;36287;32345
"616";5770;4;105807;52695;53112
"617";5770;5;67878;32314;35564
"618";5770;6;23319;8816;14503
"619";5774;1;15547;8037;7510
"620";5774;2;29333;15033;14300
"621";5774;3;81528;43168;38360
"622";5774;4;104061;52534;51527
"623";5774;5;59912;28826;31086
"624";5774;6;17458;6534;10924
"625";5911;1;16127;8258;7869
"626";5911;2;28786;14999;13787
"627";5911;3;94867;48852;46015
"628";5911;4;119909;59998;59911
"629";5911;5;79358;36714;42644
"630";5911;6;26540;9310;17230
"631";5913;1;28998;14806;14192
"632";5913;2;51619;26181;25438
"633";5913;3;150654;78620;72034
"634";5913;4;198813;99730;99083
"635";5913;5;119232;55407;63825
"636";5913;6;38934;14595;24339
"637";5914;1;9614;4936;4678
"638";5914;2;17625;9088;8537
"639";5914;3;43353;22479;20874
"640";5914;4;63331;31712;31619
"641";5914;5;40934;18931;22003
"642";5914;6;13829;5068;8761
"643";5915;1;8651;4390;4261
"644";5915;2;17253;8881;8372
"645";5915;3;43097;22532;20565
"646";5915;4;61228;30766;30462
"647";5915;5;37810;17614;20196
"648";5915;6;11877;4371;7506
"649";5916;1;7377;3730;3647
"650";5916;2;13641;7058;6583
"651";5916;3;36686;19100;17586
"652";5916;4;53865;27428;26437
"653";5916;5;33855;15661;18194
"654";5916;6;11025;3818;7207
"655";5954;1;14597;7497;7100
"656";5954;2;27013;13858;13155
"657";5954;3;68228;35223;33005
"658";5954;4;112944;55769;57175
"659";5954;5;76719;35802;40917
"660";5954;6;24605;9246;15359
"661";5958;1;11441;5802;5639
"662";5958;2;23056;11921;11135
"663";5958;3;57222;30802;26420
"664";5958;4;90800;45887;44913
"665";5958;5;58301;28257;30044
"666";5958;6;18957;7050;11907
"667";5962;1;19197;9956;9241
"668";5962;2;37341;19252;18089
"669";5962;3;89491;47017;42474
"670";5962;4;143451;71362;72089
"671";5962;5;91502;43258;48244
"672";5962;6;29240;11130;18110
"673";5966;1;6299;3251;3048
"674";5966;2;12378;6524;5854
"675";5966;3;30088;15854;14234
"676";5966;4;48072;24319;23753
"677";5966;5;28389;13957;14432
"678";5966;6;8729;3241;5488
"679";5970;1;13274;6813;6461
"680";5970;2;24277;12616;11661
"681";5970;3;66789;34871;31918
"682";5970;4;92833;46996;45837
"683";5970;5;60681;28887;31794
"684";5970;6;19090;7408;11682
"685";5974;1;14111;7265;6846
"686";5974;2;27936;14542;13394
"687";5974;3;66540;35544;30996
"688";5974;4;106349;53275;53074
"689";5974;5;65986;31443;34543
"690";5974;6;20863;7813;13050
"691";5978;1;18122;9253;8869
"692";5978;2;34956;18015;16941
"693";5978;3;83629;43549;40080
"694";5978;4;137914;68248;69666
"695";5978;5;92007;42941;49066
"696";5978;6;28263;10345;17918
"697";6411;1;7880;3994;3886
"698";6411;2;13859;7100;6759
"699";6411;3;52066;29032;23034
"700";6411;4;49898;25278;24620
"701";6411;5;27520;12748;14772
"702";6411;6;8655;3287;5368
"703";6412;1;41964;21428;20536
"704";6412;2;68908;35059;33849
"705";6412;3;214657;106014;108643
"706";6412;4;280645;143565;137080
"707";6412;5;121943;57573;64370
"708";6412;6;35263;13163;22100
"709";6413;1;7592;3899;3693
"710";6413;2;12942;6573;6369
"711";6413;3;35782;18015;17767
"712";6413;4;45593;23327;22266
"713";6413;5;21960;10340;11620
"714";6413;6;6411;2449;3962
"715";6414;1;15051;7710;7341
"716";6414;2;26752;13727;13025
"717";6414;3;67169;33074;34095
"718";6414;4;97093;46834;50259
"719";6414;5;54720;24958;29762
"720";6414;6;17689;6801;10888
"721";6431;1;12596;6412;6184
"722";6431;2;23775;12181;11594
"723";6431;3;56955;30077;26878
"724";6431;4;96563;47996;48567
"725";6431;5;62178;29785;32393
"726";6431;6;18273;7157;11116
"727";6432;1;14618;7430;7188
"728";6432;2;27860;14297;13563
"729";6432;3;64948;34291;30657
"730";6432;4;107516;53572;53944
"731";6432;5;64904;31140;33764
"732";6432;6;17998;7316;10682
"733";6433;1;14831;7691;7140
"734";6433;2;26607;13561;13046
"735";6433;3;65220;34165;31055
"736";6433;4;99027;50533;48494
"737";6433;5;53972;25585;28387
"738";6433;6;16069;6548;9521
"739";6434;1;11090;5742;5348
"740";6434;2;24224;12466;11758
"741";6434;3;46056;24046;22010
"742";6434;4;86632;42046;44586
"743";6434;5;51308;23842;27466
"744";6434;6;17604;7001;10603
"745";6435;1;20189;10464;9725
"746";6435;2;38435;19789;18646
"747";6435;3;92231;47952;44279
"748";6435;4;149556;74455;75101
"749";6435;5;92950;43970;48980
"750";6435;6;27191;10803;16388
"751";6436;1;11930;6079;5851
"752";6436;2;24180;12478;11702
"753";6436;3;48946;25351;23595
"754";6436;4;88395;43591;44804
"755";6436;5;48971;22664;26307
"756";6436;6;16136;6657;9479
"757";6437;1;4201;2213;1988
"758";6437;2;8264;4170;4094
"759";6437;3;20262;10683;9579
"760";6437;4;33401;16611;16790
"761";6437;5;23459;11410;12049
"762";6437;6;7116;2768;4348
"763";6438;1;18295;9436;8859
"764";6438;2;33787;17460;16327
"765";6438;3;78092;40531;37561
"766";6438;4;127127;63273;63854
"767";6438;5;75308;35365;39943
"768";6438;6;23204;9314;13890
"769";6439;1;8262;4263;3999
"770";6439;2;16823;8665;8158
"771";6439;3;37925;19919;18006
"772";6439;4;67506;33186;34320
"773";6439;5;43595;20714;22881
"774";6439;6;13049;5278;7771
"775";6440;1;14421;7343;7078
"776";6440;2;28757;14805;13952
"777";6440;3;66744;35109;31635
"778";6440;4;111701;55435;56266
"779";6440;5;66710;32153;34557
"780";6440;6;20006;7624;12382
"781";6531;1;12882;6666;6216
"782";6531;2;22699;11615;11084
"783";6531;3;77598;39166;38432
"784";6531;4;87225;43580;43645
"785";6531;5;54115;25825;28290
"786";6531;6;16169;6333;9836
"787";6532;1;11734;6041;5693
"788";6532;2;22961;11911;11050
"789";6532;3;55574;29044;26530
"790";6532;4;88340;43991;44349
"791";6532;5;56845;27147;29698
"792";6532;6;17865;6769;11096
"793";6533;1;7729;3950;3779
"794";6533;2;15491;7963;7528
"795";6533;3;37993;20038;17955
"796";6533;4;60749;30467;30282
"797";6533;5;38531;18623;19908
"798";6533;6;11419;4378;7041
"799";6534;1;10875;5578;5297
"800";6534;2;21634;11060;10574
"801";6534;3;68085;34364;33721
"802";6534;4;81391;40851;40540
"803";6534;5;49523;23758;25765
"804";6534;6;15576;6008;9568
"805";6535;1;4306;2178;2128
"806";6535;2;8713;4470;4243
"807";6535;3;20993;11315;9678
"808";6535;4;36781;18523;18258
"809";6535;5;26179;12972;13207
"810";6535;6;8671;3403;5268
"811";6611;1;10018;5140;4878
"812";6611;2;17098;8908;8190
"813";6611;3;59006;30861;28145
"814";6611;4;64312;31899;32413
"815";6611;5;39079;17967;21112
